Gene Set Name,Gene Set Description,Gene Symbol,Gene Description
,,CCL3L1,"Id: ENSG00000276085, Name: C-C motif chemokine ligand 3 like 3"
,,CST3,"Id: ENSG00000101439, Name: cystatin C"
,,ITGB2,"Id: ENSG00000160255, Name: integrin subunit beta 2"
,,LYZ,"Id: ENSG00000090382, Name: lysozyme"
,,CYBA,"Id: ENSG00000051523, Name: cytochrome b-245 alpha chain"
,,APOC1,"Id: ENSG00000130208, Name: apolipoprotein C1"
,,PSAP,"Id: ENSG00000197746, Name: prosaposin"
,,CTSB,"Id: ENSG00000164733, Name: cathepsin B"
,,CYBB,"Id: ENSG00000165168, Name: cytochrome b-245 beta chain"
,,GRN,"Id: ENSG00000030582, Name: granulin precursor"
,,IGSF6,"Id: ENSG00000140749, Name: immunoglobulin superfamily member 6"
,,FCGR2A,"Id: ENSG00000143226, Name: Fc gamma receptor IIa"
,,ASAH1,"Id: ENSG00000104763, Name: N-acylsphingosine amidohydrolase 1"
,,MS4A7,"Id: ENSG00000166927, Name: membrane spanning 4-domains A7"
,,VSIG4,"Id: ENSG00000155659, Name: V-set and immunoglobulin domain containing 4"
,,SPI1,"Id: ENSG00000066336, Name: Spi-1 proto-oncogene"
,,FCGRT,"Id: ENSG00000104870, Name: Fc gamma receptor and transporter"
,,FCGR3A,"Id: ENSG00000203747, Name: Fc gamma receptor IIIa"
,,CTSD,"Id: ENSG00000117984, Name: cathepsin D"
,,PLEK,"Id: ENSG00000115956, Name: pleckstrin"
,,CTSC,"Id: ENSG00000109861, Name: cathepsin C"
,,OAZ1,"Id: ENSG00000104904, Name: ornithine decarboxylase antizyme 1"
,,ATP6V0B,"Id: ENSG00000117410, Name: ATPase H+ transporting V0 subunit b"
,,OLR1,"Id: ENSG00000173391, Name: oxidized low density lipoprotein receptor 1"
,,MS4A4A,"Id: ENSG00000110079, Name: membrane spanning 4-domains A4A"
,,HLA-DPA1,"Id: ENSG00000231389, Name: major histocompatibility complex, class II, DP alpha 1"
,,BRI3,"Id: ENSG00000164713, Name: brain protein I3"
,,ZEB2,"Id: ENSG00000169554, Name: zinc finger E-box binding homeobox 2"
,,HLA-DPB1,"Id: ENSG00000223865, Name: major histocompatibility complex, class II, DP beta 1"
,,HLA-DRB1,"Id: ENSG00000196126, Name: major histocompatibility complex, class II, DR beta 1"
,,PHACTR1,"Id: ENSG00000112137, Name: phosphatase and actin regulator 1"
uterine smooth muscle cell - marker genes,CellGuide's computational marker genes for 'uterine smooth muscle cell' in uterus tissue,ACTA2,"Id: ENSG00000107796, Name: actin alpha 2, smooth muscle"
,,TAGLN,"Id: ENSG00000149591, Name: transgelin"
,,TPM2,"Id: ENSG00000198467, Name: tropomyosin 2"
,,MYL9,"Id: ENSG00000101335, Name: myosin light chain 9"
,,RAMP1,"Id: ENSG00000132329, Name: receptor activity modifying protein 1"
,,TPM1,"Id: ENSG00000140416, Name: tropomyosin 1"
,,CNN1,"Id: ENSG00000130176, Name: calponin 1"
,,MYLK,"Id: ENSG00000065534, Name: myosin light chain kinase"
,,ACTG2,"Id: ENSG00000163017, Name: actin gamma 2, smooth muscle"
,,DES,"Id: ENSG00000175084, Name: desmin"
,,MYH11,"Id: ENSG00000133392, Name: myosin heavy chain 11"
,,TCEAL4,"Id: ENSG00000133142, Name: transcription elongation factor A like 4"
,,HSPB1,"Id: ENSG00000106211, Name: heat shock protein family B (small) member 1"
,,CALD1,"Id: ENSG00000122786, Name: caldesmon 1"
,,DSTN,"Id: ENSG00000125868, Name: destrin, actin depolymerizing factor"
,,ACTB,"Id: ENSG00000075624, Name: actin beta"
,,LGALS1,"Id: ENSG00000100097, Name: galectin 1"
,,SELENOM,"Id: ENSG00000198832, Name: selenoprotein M"
,,LPP,"Id: ENSG00000145012, Name: LIM domain containing preferred translocation partner in lipoma"
,,MYL6,"Id: ENSG00000092841, Name: myosin light chain 6"
,,CSRP1,"Id: ENSG00000159176, Name: cysteine and glycine rich protein 1"
,,PDLIM7,"Id: ENSG00000196923, Name: PDZ and LIM domain 7"
,,PALLD,"Id: ENSG00000129116, Name: palladin, cytoskeletal associated protein"
,,TCEAL3,"Id: ENSG00000196507, Name: transcription elongation factor A like 3"
,,SVIL,"Id: ENSG00000197321, Name: supervillin"
,,EGR1,"Id: ENSG00000120738, Name: early growth response 1"
,,SMTN,"Id: ENSG00000183963, Name: smoothelin"
,,PDLIM3,"Id: ENSG00000154553, Name: PDZ and LIM domain 3"
,,TGFB1I1,"Id: ENSG00000140682, Name: transforming growth factor beta 1 induced transcript 1"
,,FLNA,"Id: ENSG00000196924, Name: filamin A"
,,LEFTY2,"Id: ENSG00000143768, Name: left-right determination factor 2"
,,PBX1,"Id: ENSG00000185630, Name: PBX homeobox 1"
,,IGFBP5,"Id: ENSG00000115461, Name: insulin like growth factor binding protein 5"
,,NEXN,"Id: ENSG00000162614, Name: nexilin F-actin binding protein"
,,EMX2,"Id: ENSG00000170370, Name: empty spiracles homeobox 2"
,,KCNMB1,"Id: ENSG00000145936, Name: potassium calcium-activated channel subfamily M regulatory beta subunit 1"
,,PPP1R12B,"Id: ENSG00000077157, Name: protein phosphatase 1 regulatory subunit 12B"
,,SYNPO2,"Id: ENSG00000172403, Name: synaptopodin 2"
,,TCEAL1,"Id: ENSG00000172465, Name: transcription elongation factor A like 1"
,,FOS,"Id: ENSG00000170345, Name: Fos proto-oncogene, AP-1 transcription factor subunit"
